lang,f1_macro,precision_macro,recall_macro,model_name,used_dev_labels
eng,0.7483495370035971,0.7453161261108281,0.7579761904761905,t5-small,False
amh,0.4661551985934628,0.7553030303030304,0.5163085559427023,t5-small,False
arb,0.6116102530694969,0.6908602150537635,0.6508658851861033,t5-small,False
deu,0.6564683495376564,0.6564283449587824,0.6565213942974977,t5-small,False
hau,0.8305555555555555,0.8577668577668578,0.8082804046106798,t5-small,False
ita,0.5831413210445469,0.5908778733890842,0.5833487717218125,t5-small,False
spa,0.6117302052785923,0.6154374628639334,0.6134903249361081,t5-small,False
urd,0.5065573444247646,0.6055133079847909,0.5354406130268199,t5-small,False
zho,0.49158336954947124,0.530715251215093,0.5233228511530399,t5-small,False
